--- MENU DUMP FROM IIKO API ---
Generated at: 2026-02-05T11:16:01.418Z
Format: [Group Name] Product Name | Price | ID | Type
---------------------------------------------------
[Unknown Group] 1/4 С/д пирог с болгарским перцем, баклажанами и томатами | Price: 0 | ID: e51b309c-414c-401e-8901-166009072191 | Type: Modifier
[Unknown Group] 1/4 С/д пирог с горбушей и сливочным сыром | Price: 0 | ID: 8cb64598-f3f0-4337-a2cb-e276c7a927a2 | Type: Modifier
[Unknown Group] 1/4 С/д пирог с капустой и рубленым яйцом | Price: 0 | ID: 19e9f859-aaf5-4efc-b9fb-696c9edbc6c4 | Type: Modifier
[Unknown Group] 1/4 С/д пирог с курочкой, рубленым яйцом и рисом | Price: 0 | ID: 3301b4ca-74be-416b-be7d-c2a5dbf77a19 | Type: Modifier
[Unknown Group] 1/4 С/д пирог с курятиной и шампиньонами | Price: 0 | ID: 8f665fd6-730e-4cfa-9d75-465b406ebc36 | Type: Modifier
[Unknown Group] 1/4 С/д пирог с лесными ягодами | Price: 0 | ID: c56abe8a-930f-4312-8f7c-401e0997856e | Type: Modifier
[Unknown Group] 1/4 С/д пирог с малиной и натуральным творогом | Price: 0 | ID: de7a8c64-d5cd-4680-a759-74b8e0828efd | Type: Modifier
[Unknown Group] 1/4 С/д пирог с натуральным творогом и вишней | Price: 0 | ID: ffd9863f-1581-4a37-b65b-98d34ca04e6a | Type: Modifier
[Unknown Group] 1/4 С/д пирог с фаршем из отборного мяса | Price: 0 | ID: 21ed4a39-8489-4a65-a963-9cee14cd7daa | Type: Modifier
[Unknown Group] 1/4 С/д пирог с яблоком и брусникой | Price: 0 | ID: 65505c37-4d2b-4451-bb7f-49a22a8a872f | Type: Modifier
[Unknown Group] Белорусский пирог с картофелем и грибами | Price: 1174/1593 | ID: 5fd69471-ed6d-4038-8cb5-861206243fe7 | Type: Dish
[Unknown Group] Брюссельский пирог с брокколи, шпинатом и цветной капустой | Price: 1226/1710 | ID: 4627e8a3-652c-4dc4-a25c-2582d40e05cf | Type: Dish
[Unknown Group] Калифорнийский клубничный пай | Price: 1233/1794 | ID: 2baf1773-6796-4aad-9fbc-e321533edf29 | Type: Dish
[Unknown Group] Киш жюльен с куриным филе и ароматными грибами | Price: 0 | ID: 38e849a6-c0ef-4348-b5a5-5a016e119993 | Type: Modifier
[Unknown Group] Киш маковый 24 см (большой) | Price: 0 | ID: 7eceedd7-2b49-49e1-8ecc-87f152990e92 | Type: Modifier
[Unknown Group] Киш пикантный из фарша и фасоли | Price: 0 | ID: 0a1e8a0a-f03b-4b68-b656-dfcf4261993f | Type: Modifier
[Unknown Group] Киш с брокколи, шпинатом и цветной капустой | Price: 0 | ID: 5570269a-9385-47ac-b651-29767f390397 | Type: Modifier
[Unknown Group] Киш с горбушей и рисом | Price: 0 | ID: e98f1b7f-2028-42d5-9ff0-4cf4ca6c9437 | Type: Modifier
[Unknown Group] Киш с горбушей, брокколи в сливочной заливке | Price: 0 | ID: e6f95d85-a160-42b4-b03e-9ed60c94663c | Type: Modifier
[Unknown Group] Киш с грушей и сыром благородной плесени | Price: 0 | ID: d95e8ed7-86e6-40a9-9fb9-90bbf536c116 | Type: Modifier
[Unknown Group] Киш с деревенским картофелем, беконом | Price: 0 | ID: 062d9c14-2f44-42fa-984f-d3e514e9b755 | Type: Modifier
[Unknown Group] Киш с капустой и яйцом | Price: 0 | ID: 05fe278d-3c0d-4701-aadf-a6b0a7c6e8b0 | Type: Modifier
[Unknown Group] Киш с капустой и яйцом | Price: 0 | ID: f49e5738-f088-4954-9b6c-d82647e5572a | Type: Modifier
[Unknown Group] Киш с картофелем и грибами | Price: 0 | ID: fd262d19-f783-4fef-9f53-cf3cdee6100b | Type: Modifier
[Unknown Group] Киш с картофелем и грибами | Price: 0 | ID: b9185ddb-650b-4036-8065-8aaf52f9edb7 | Type: Modifier
[Unknown Group] Киш с колбасками, зелёным лучком и картофелем | Price: 0 | ID: 40d29f55-a63e-4ae1-a1f4-6f6571b8d95f | Type: Modifier
[Unknown Group] Киш с курочкой и помидорками черри | Price: 0 | ID: 637ce9fe-bc21-4041-8aea-fcfea8ac060a | Type: Modifier
[Unknown Group] Киш с натуральной вишней | Price: 0 | ID: d0ae2528-798c-42ae-bb3a-c0e0c1b4bff2 | Type: Modifier
[Unknown Group] Киш с творожной начинкой и черной смородиной | Price: 0 | ID: 3d27c5c0-4590-41e1-9b75-57a6e82f1e7f | Type: Modifier
