ID: e256fddc-6102-4baa-bc71-7e0d20f0d44f | Name: Кавкавзкий набор: Три пирога | Type: Dish | OrderItemType: Product
ID: cdfc2e1a-8ca1-406c-b507-4981723881d5 | Name: Осетинский пирог с маком и сухофруктами  | Type: Dish | OrderItemType: Compound
ID: 1d24b4bc-eda2-4cdd-b4c7-f25694435c32 | Name: Осетинский пирог с вишней  | Type: Dish | OrderItemType: Compound
ID: e140f5bf-d227-40de-86ba-a00d3cb27fc6 | Name: Осетинский пирог с творогом и малиной  | Type: Dish | OrderItemType: Compound
ID: 81789d56-c0fc-4c60-bb6b-14ce86f41307 | Name: Осетинский пирог с черной смородиной | Type: Dish | OrderItemType: Compound
ID: 61bf1f00-753b-4ce0-9029-3e9b3955339c | Name: Осетинский пирог с яблоком, орехом и изюмом  | Type: Dish | OrderItemType: Compound
ID: 10b123c7-0dd4-4d08-a2f5-b80ae6c27617 | Name: Осет. пирог с рубл. говяд. и инжир | Type: Dish | OrderItemType: Product
ID: f692875f-110e-43d8-82e0-acfe1fb6f663 | Name: Осетинский пирог с говяжьим фаршем | Type: Dish | OrderItemType: Compound
ID: 1efb4e98-94e0-471b-b382-e7f9bd730ebe | Name: Осетинский пирог с говяжьим фаршем и капустой | Type: Dish | OrderItemType: Compound
ID: bd98befb-9488-471f-bc7f-b36b85a4f35b | Name: Осетинский пирог с говяжьим фаршем и картофелем | Type: Dish | OrderItemType: Compound
ID: ed59ca81-26f3-446d-b86f-db92ad9d2915 | Name: Осетинский пирог с домашним фаршем | Type: Dish | OrderItemType: Compound
ID: ab1f51ad-1208-41f2-9370-4e226e1428f6 | Name: Осетинский пирог с капустой | Type: Dish | OrderItemType: Compound
ID: 566d2c9a-8dd5-46e5-8b4d-0b9cd5fb680d | Name: Осетинский пирог с капустой и орехом | Type: Dish | OrderItemType: Compound
ID: 9e67e092-0829-43f5-9585-0d6fb1a36d80 | Name: Осетинский пирог с картофелем | Type: Dish | OrderItemType: Compound
ID: 942e9a3c-5a33-4278-9d9d-33b67b66eec6 | Name: Осетинский пирог с картофелем и грибами | Type: Dish | OrderItemType: Compound
ID: fd7151f1-6e0c-4c17-ad6f-540756d4fca4 | Name: Осетинский пирог с картофелем и сыром | Type: Dish | OrderItemType: Compound
ID: 68346824-f27e-4347-b27c-52e095719487 | Name: Осетинский пирог с красной рыбой | Type: Dish | OrderItemType: Compound
ID: 42ed9dc5-f736-4b73-adc8-92015aab8c65 | Name: Осетинский пирог с курицей и грибами | Type: Dish | OrderItemType: Compound
ID: 725cdb3d-7986-4e4f-9d1b-062275a7bec8 | Name: Осетинский пирог с рубленой говядиной  | Type: Dish | OrderItemType: Compound
ID: 72cf49d8-b43d-41af-9115-9e4cad871ca9 | Name: Осетинский пирог с сыром и зеленью | Type: Dish | OrderItemType: Compound
ID: 2bac9f65-bd55-477a-b49a-a50ce45d10d9 | Name: Осетинский пирог с сыром и свекольными листьями | Type: Dish | OrderItemType: Compound
ID: de5d3d2e-f604-4140-bb5a-8e1e49204973 | Name: Осетинский пирог с сыром сулугуни | Type: Dish | OrderItemType: Compound
ID: 32a5e1f5-11e8-4548-a43f-6cadc2ed6ad6 | Name: Афинский пирог с карамелизированной грушей, имберем и корицей | Type: Dish | OrderItemType: Compound
ID: e3bbc94b-52bb-4c95-ab9a-07ae72281ced | Name: Балийский пирог с ЛИМОНОМ И КОКОСОМ | Type: Dish | OrderItemType: Compound
ID: 4afc47d5-c3ec-42ae-9984-7b11241f7e21 | Name: Вьетнамский пирог с МАНГО И КИВИ  | Type: Dish | OrderItemType: Compound
ID: fd603dd3-991e-45ab-b92b-d65f3c16c17d | Name: Галисийский пирог МИНДАЛЬНЫЙ С ГРУШЕЙ  | Type: Dish | OrderItemType: Compound
ID: e57333f1-a649-4c32-94b8-de82237f79b9 | Name: Испанский абрикосовый пирог | Type: Dish | OrderItemType: Compound
ID: 83b783e9-d593-433b-bb1d-64ae70ba624e | Name: Карибский грейпфруктово-банановый пирог | Type: Dish | OrderItemType: Product
ID: 1516e2b9-c3d8-469b-b03a-e3626f7a824d | Name: Лондонский ТЫКВЕННЫЙ пирог | Type: Dish | OrderItemType: Compound
ID: 2fd16b3a-09cf-43b5-aa88-d6fdfed12606 | Name: Польский пирог с МАКОМ и ТВОРОЖНЫМ СЫРОМ | Type: Dish | OrderItemType: Compound
ID: 6c3bfe23-1de0-4c6c-a029-f077a88d4c3f | Name: Румынский пирог с ТВОРОГОМ и ЧЕРНОЙ СМОРОДИНОЙ | Type: Dish | OrderItemType: Compound
ID: 3114ae46-2f26-47f5-887b-f85cde1c5099 | Name: Финский пирог с НАТУРАЛЬНОЙ ЛЕСНОЙ ЧЕРНИКОЙ  | Type: Dish | OrderItemType: Compound
ID: 68e4297c-bbe7-4570-a22d-330bfaf95293 | Name: Французский пирог с грушей и сыром Дорблю | Type: Dish | OrderItemType: Compound
ID: 481330e0-0d74-4f16-aecf-5e2faf6e4655 | Name: Чикагский брауни шоколадный пирог с брусникой и грецким орехом | Type: Dish | OrderItemType: Compound
ID: b3586ce7-b6d3-498b-8041-10aaccbf0d1f | Name: Швейцарский пирог с ФИСТАШКОЙ и МАЛИНОЙ | Type: Dish | OrderItemType: Compound
ID: a80e6ecb-3479-47ba-a221-d1dde5e7b8f3 | Name: Амстердамский пирог | Type: Dish | OrderItemType: Compound
ID: 03386486-54d9-4713-be37-ee7525d4003f | Name: Атлантический пирог со скумбрией  | Type: Dish | OrderItemType: Compound
ID: 5fd69471-ed6d-4038-8cb5-861206243fe7 | Name: Белорусский пирог с картофелем и грибами | Type: Dish | OrderItemType: Compound
ID: f29619dd-6cc5-4ba1-bb97-ef1f4e95cdf6 | Name: Британский пирог с индейкой, томатами и голыбым сыром | Type: Dish | OrderItemType: Compound
ID: 4627e8a3-652c-4dc4-a25c-2582d40e05cf | Name: Брюссельский пирог с брокколи, шпинатом и цветной капустой | Type: Dish | OrderItemType: Compound
ID: 3a912dcd-61d4-4080-9dc7-05893f697567 | Name: Греческий пирог с творожным сыром и шпинатом | Type: Dish | OrderItemType: Compound
ID: cf3eb36a-1a94-4daa-a6ac-d5ab494216ac | Name: Ирландский пирог с ФАРШЕМ ИЗ ГОВЯДИНЫ И СВИНИНЫ | Type: Dish | OrderItemType: Compound
ID: 54f2df29-182e-4ca5-b6b8-9c956e0b4e4c | Name: Лоранский пирог с КУРИЦЕЙ и ШАМПИНЬОНАМИ | Type: Dish | OrderItemType: Compound
ID: 73bc1631-6625-437a-be0a-3d2df1410082 | Name: Мексиканский пирог с ФАРШЕМ,ФАСОЛЬЮ,КУКУРУЗОЙ и ПЕРЦЕМ ЧИЛИ | Type: Dish | OrderItemType: Compound
ID: f8e714a0-7cd8-4e65-a2a8-b72b22f49f32 | Name: Мюнхенский пирогс колбасками | Type: Dish | OrderItemType: Compound
ID: 3bdbf23e-0728-43ed-98f5-94ae2d347a0c | Name: Немецкий Цвибелькухен ЛУКОВЫЙ ПИРОГ | Type: Dish | OrderItemType: Compound
ID: 4b3d6363-7f2d-450e-8f45-19c6666ab5f7 | Name: Турецкий пирог НУТОВЫЙ с томатами  | Type: Dish | OrderItemType: Compound
ID: 09607c27-373e-4bc6-b6c4-4f0e00654ddb | Name: Украинский пирог с капустой и яйцом | Type: Dish | OrderItemType: Compound
